31114,347,1357
31172,348,1341
21053,411,898
24109,269,1064
16428,321,1010
30197,424,1308
22459,370,751
26222,414,1065
29615,179,1308
31220,449,1405
20799,254,674
17299,198,653
29521,449,1263
19161,330,659
30760,387,927
26404,167,1110
25450,421,887
20584,262,748
27995,403,983
15366,182,708
29690,236,1376
25830,162,1160
31220,363,1402
18984,319,783
28588,185,1064
15004,179,735
30974,450,1205
31049,279,1140
18293,394,647
14997,172,649
31024,442,1237
24679,206,978
22921,442,1255
19885,357,934
25883,175,1213
14606,172,638
15196,226,647
25959,197,1384
14977,367,648
28805,295,1271
16011,157,642
28192,443,1078
14917,160,1108
28224,430,911
14590,180,637
15019,164,673
15058,164,696
31171,391,1268
31219,446,1385
30608,302,865
17083,223,661
31125,436,1183
14803,158,685
14858,311,809
19035,424,653
18492,227,662
14630,262,645
28942,256,1131
31219,448,1402
14592,214,637
27645,246,1204
31220,449,1405
25120,203,885
30471,337,1033
27671,388,737
14627,217,638
30983,348,1136
15060,185,637
22766,245,710
31206,407,1381
31212,347,1384
14606,163,647
25769,377,1334
28691,348,1276
31077,367,1254
31137,410,1338
27847,159,1034
24610,290,741
26433,426,1153
14644,436,637
28994,186,815
21531,240,1017
21796,428,1054
19791,448,728
14608,168,637
30670,398,1266
15529,171,671
30973,203,1320
31067,437,1388
31189,424,1336
16113,423,638
15010,369,639
25946,448,1059
29337,347,1183
27592,185,761
29815,229,1103
31029,285,1154
31177,365,1270
21762,359,688
25320,367,1032
30613,265,1197
29193,432,1322
23151,409,1215
24398,339,881
24715,339,830
22773,368,777
31192,385,1256
15038,170,682
24284,364,707
14932,256,637
30021,171,1329
29393,333,1200
16457,179,645
18456,162,724
16881,282,656
26216,222,1128
21993,334,689
16987,166,744
31220,391,1405
26516,381,1338
30755,192,1317
20530,166,672
24394,376,727
26523,347,1106
21952,358,819
17293,284,660
31141,172,1052
27339,445,1218
30560,429,1138
29650,378,1131
27185,422,1067
26422,266,966
31214,436,1369
31216,438,1396
17294,330,1277
26664,238,848
16207,288,679
28591,192,1325
31094,364,1390
20552,346,839
31067,338,1044
16097,432,701
15257,365,665
31198,412,1395
31220,444,1405
31220,450,1405
30868,450,1251
30276,421,1384
30853,267,1313
14881,445,648
29052,450,984
22432,357,972
29400,323,1364
27924,421,901
31142,157,1310
15548,157,637
31102,443,1352
16511,284,666
16326,422,725
28504,266,1236
15140,339,746
14824,296,682
26645,364,1042
29601,447,1321
27483,441,919
29190,437,1313
31200,450,1370
30695,419,1074
30504,442,1158
14932,157,638
25044,192,1074
16069,157,639
31157,380,1342
27341,347,788
15848,191,726
15607,173,721
30631,401,1236
15201,434,680
23163,445,843
31070,446,1303
30851,374,1335
30840,450,1327
22352,449,786
28361,249,888
15347,227,674
29215,250,975
19245,254,706
24330,324,660
15014,241,685
18755,324,690
30533,263,1001
30697,189,1088
23541,184,704
16266,193,794
28492,345,1009
28027,449,1119
23689,166,681
14763,172,654
28635,443,1248
28480,445,942
14900,427,714
15104,157,651
21108,339,733
15447,199,641
20025,347,734
27912,159,1244
30465,177,1207
30864,432,1316
31220,444,1405
14719,423,704
14988,403,669
30885,430,1097
15934,157,744
14965,266,642
15122,225,669
15359,207,675
28848,417,1300
27134,177,1230
23355,227,818
30802,446,1398
28670,376,1088
14633,218,638
29841,424,1352
31200,417,1366
19844,252,699
28634,301,1242
23585,378,717
14714,170,648
15172,245,667
27691,263,873
28626,392,1198
29313,433,835
23401,157,1307
31172,355,1336
14606,164,637
25093,207,773
31209,394,1314
30536,256,1362
31159,371,1353
30697,450,1375
21788,321,703
27393,260,951
30869,182,1344
27671,161,1233
29915,448,879
19641,333,958
31203,421,1384
31218,400,1405
27431,237,894
18639,169,657
18006,321,709
14630,377,637
28436,346,1094
31175,449,1335
22893,157,745
15282,161,641
29812,350,869
15375,327,652
14625,162,638
31179,214,1352
30584,412,1202
28094,159,908
31215,449,1388
17925,157,793
25918,320,950
30558,428,1297
30847,379,1132
17673,184,815
16470,281,800
14604,422,640
19445,162,707
31209,442,1373
31193,428,1314
31217,450,1334
28805,384,1324
31146,344,1149
23080,196,712
15632,289,656
21502,252,956
30754,431,1294
31175,446,1401
27384,443,1015
14696,174,639
22778,449,1111
30791,207,1368
23701,171,1222
31220,446,1404
28358,246,1001
14717,319,638
15582,431,649
29500,396,1279
18774,424,770
20224,435,668
15539,367,639
28697,421,962
31219,424,1401
26953,423,819
28861,371,1208
28516,215,1363
15234,447,802
27742,448,853
31125,443,1341
31209,442,1392
24326,242,831
28052,209,1290
21171,336,686
29899,236,1256
16889,432,638
15773,288,642
30553,323,1351
26426,259,1217
30775,192,1357
30907,418,1322
16049,326,889
21905,406,809
15753,260,669
15939,168,813
14656,158,649
27046,240,1273
15338,162,654
14960,158,643
26828,178,1217
18839,350,863
28990,188,1272
25454,259,1053
29297,434,1113
30908,430,1320
25234,450,934
15652,215,723
29480,224,1111
16321,262,676
27939,290,1126
23502,175,961
30970,202,1082
30836,311,1268
26336,320,974
30553,192,1263
31149,450,1092
31135,347,1374
30741,299,1025
30168,196,1180
31213,437,1388
30182,374,974
14681,159,647
24498,217,1038
22888,213,1039
28448,307,1113
30657,396,1190
27878,432,777
15327,437,650
27766,390,825
14727,267,637
31205,447,1380
19296,393,853
14591,379,639
31130,447,1322
30978,386,1366
16659,352,706
31215,432,1401
30416,288,1216
16108,157,669
29102,448,1136
30175,446,1299
30089,175,940
31209,177,1382
25868,201,1061
19036,158,718
28521,395,1366
15537,446,656
27145,182,873
25930,442,970
16789,157,709
31214,450,1338
25713,380,847
30203,434,1231
23333,439,920
14660,225,659
30399,450,1360
27352,341,1111
28364,166,1148
29136,411,1006
